iter	RMSE
0	265134.8143
1	258885.2046
2	253063.2444
3	247604.0786
4	242596.6623
5	238013.3582
6	233855.8588
7	229596.0271
8	225855.5888
9	222380.8122
10	218855.5185
11	215747.4203
12	212952.1699
13	210304.6361
14	208078.0174
15	205690.1655
16	203589.5908
17	201492.7744
18	199450.8814
19	197668.3907
20	195874.7751
21	194231.1371
22	192768.0787
23	191375.408
24	190188.9387
25	188641.4559
26	187391.875
27	186138.9143
28	184928.364
29	183707.2642
30	182479.5846
31	181644.4685
32	180709.1986
33	180107.7026
34	178880.9097
35	178798.9313
36	177874.1173
37	177245.5962
38	176520.2995
39	175741.3994
40	175090.4136
41	174279.8913
42	173975.782
43	172944.5866
44	172366.5629
45	171731.2818
46	170998.7975
47	170346.0802
48	169725.4058
49	169345.156
50	168761.7678
51	168147.467
52	167632.5532
53	167117.8866
54	167070.9339
55	166985.1741
56	166674.3981
57	166213.8383
58	165689.2905
59	165175.3676
60	165136.8183
61	165099.4804
62	164795.1869
63	164295.1244
64	163905.2283
65	163541.84
66	163295.5234
67	162929.8824
68	162899.6551
69	162597.1763
70	162338.6919
71	161875.3508
72	161800.5587
73	161704.36
74	161391.0882
75	160995.4289
76	160938.9382
77	160451.3606
78	160429.5124
79	160317.4703
80	159903.872
81	159652.33
82	159165.7747
83	158794.5264
84	158458.3636
85	158237.5393
86	158220.6767
87	157672.4682
88	157401.1454
89	157016.1225
90	156672.0795
91	156307.149
92	155994.0501
93	155765.5703
94	155437.6165
95	154836.1565
96	154567.1398
97	154271.3101
98	153860.8616
99	153600.008
100	153277.0958
101	153054.5434
102	152696.5827
103	152437.8487
104	152206.1
105	151977.7091
106	151689.5681
107	151368.2703
108	151168.347
109	150812.6379
110	150610.1795
111	150345.6778
112	150121.2347
113	149986.2795
114	149844.3778
115	149713.3949
116	149523.5446
117	149397.583
118	149216.3051
119	149067.8553
120	148916.6802
121	148655.6443
122	148354.2616
123	148136.4018
124	147919.1097
125	147716.8737
126	147484.6226
127	147341.9547
128	147057.6332
129	146943.0678
130	146667.1959
131	146464.2371
132	146228.1202
133	146089.3076
134	145966.8997
135	145846.8113
136	145753.1044
137	145671.0681
138	145565.2306
139	145265.451
140	145176.6543
141	144996.1105
142	144891.4585
143	144786.3641
144	144650.0258
145	144534.1842
146	144425.5725
147	144325.4661
148	144236.5428
149	144109.3637
150	144044.2714
151	143866.9014
152	143746.6892
153	143632.5231
154	143431.3433
155	143151.3615
156	143037.303
157	142922.6309
158	142827.2065
159	142762.9154
160	142683.1902
161	142677.0641
162	142623.6742
163	142475.1954
164	142379.5647
165	142298.1427
166	142228.4719
167	142184.7122
168	142092.1058
169	141996.533
170	141920.8718
171	141642.271
172	141522.4987
173	141437.8216
174	141317.7155
175	141242.6518
176	141156.7638
177	140926.3862
178	140839.5763
179	140696.4096
180	140498.8678
181	140337.4803
182	140222.0461
183	140151.161
184	140146.575
185	140053.1322
186	139937.0772
187	139868.0864
188	139758.8922
189	139659.5538
190	139569.769
191	139455.6765
192	139399.48
193	139315.7787
194	139223.9485
195	139185.5068
196	139084.6
197	139035.6544
198	138994.0908
199	138896.653
200	138732.5326
201	138679.5006
202	138546.49
203	138453.7932
204	138337.6552
205	138237.2625
206	137971.7081
207	137900.8555
208	137825.7199
209	137748.1652
210	137649.6491
211	137574.7959
212	137491.5071
213	137409.7697
214	137291.5272
215	137113.7754
216	137011.6521
217	136929.135
218	136850.9285
219	136736.6565
220	136637.4773
221	136593.7414
222	136527.716
223	136358.0334
224	136182.939
225	136136.4549
226	136027.7811
227	135892.5112
228	135819.4158
229	135740.2347
230	135696.4169
231	135586.58
232	135480.1709
233	135410.869
234	135256.5911
235	135157.2216
236	135031.4544
237	134928.3966
238	134841.5858
239	134815.6461
240	134720.9127
241	134625.1654
242	134517.0964
243	134457.7585
244	134388.0236
245	134364.3347
246	134241.9624
247	134166.6713
248	134056.4452
249	133974.0411
250	133821.4807
251	133665.3645
252	133631.8869
253	133571.16
254	133476.6121
255	133317.2895
256	133295.7801
257	133265.285
258	133206.1449
259	133102.748
260	132998.1992
261	132958.4185
262	132804.3837
263	132726.5169
264	132620.0253
265	132536.6466
266	132406.153
267	132316.7103
268	132198.6264
269	132130.6845
270	132001.5874
271	131971.4599
272	131942.1483
273	131817.0596
274	131786.7512
275	131713.7558
276	131665.8073
277	131595.1545
278	131569.6868
279	131515.8292
280	131479.7575
281	131433.9246
282	131309.2625
283	131251.1858
284	131223.5748
285	131162.0609
286	131066.4657
287	131037.4954
288	131007.0736
289	130941.4851
290	130876.8283
291	130845.168
292	130780.751
293	130744.6767
294	130664.1876
295	130540.0795
296	130440.8671
297	130352.8394
298	130271.8978
299	130215.9942
300	130116.947
301	130068.9505
302	130011.3922
303	129985.2894
304	129934.7563
305	129886.4465
306	129840.2022
307	129678.0418
308	129595.1141
309	129549.213
310	129460.889
311	129385.2364
312	129324.2074
313	129231.5877
314	129181.7065
315	129076.2139
316	129021.0378
317	128997.3043
318	128930.5696
319	128854.164
320	128790.1146
321	128737.3443
322	128640.0771
323	128627.0749
324	128540.0775
325	128532.5916
326	128493.9148
327	128416.555
328	128379.3933
329	128323.2962
330	128267.9179
331	128197.9011
332	128077.3483
333	127980.9285
334	127946.3049
335	127912.0797
336	127838.2347
337	127770.9086
338	127715.7863
339	127662.0736
340	127602.4767
341	127555.0589
342	127415.4272
343	127367.7242
344	127322.4966
345	127227.1568
346	127156.3992
347	127128.714
348	127027.464
349	126937.0318
350	126881.5615
351	126744.0472
352	126711.4589
353	126674.0037
354	126635.8182
355	126543.5507
356	126511.1779
357	126487.2523
358	126392.9082
359	126268.7507
360	126244.0226
361	126155.7085
362	126111.1142
363	126013.2414
364	125987.6855
365	125949.1898
366	125903.3013
367	125866.6289
368	125837.4701
369	125782.3433
370	125709.6343
371	125660.217
372	125598.5259
373	125565.3138
374	125499.8438
375	125414.5097
376	125350.0957
377	125307.2713
378	125261.2889
379	125234.2661
380	125144.3616
381	125098.3876
382	125055.2813
383	125010.9457
384	124973.8379
385	124867.6342
386	124806.3398
387	124769.2299
388	124709.4343
389	124656.7772
390	124553.5466
391	124507.1725
392	124457.9343
393	124401.5757
394	124311.2197
395	124266.1751
396	124239.5099
397	124175.7957
398	124104.8068
399	124062.2133
400	124013.7881
401	123949.1814
402	123856.9956
403	123789.9175
404	123730.5167
405	123699.4932
406	123655.4674
407	123578.2421
408	123501.7844
409	123425.1667
410	123378.668
411	123322.1361
412	123263.3131
413	123235.12
414	123143.7638
415	123079.2776
416	122995.5248
417	122946.2333
418	122875.2327
419	122828.5723
420	122759.8694
421	122657.896
422	122603.5047
423	122575.3488
424	122529.1083
425	122479.4655
426	122434.7869
427	122390.0514
428	122340.8684
429	122259.9731
430	122234.211
431	122184.9982
432	122147.9327
433	122095.6573
434	122058.3483
435	122024.5897
436	121977.3033
437	121903.9766
438	121827.3817
439	121786.7933
440	121730.0361
441	121695.9567
442	121662.2115
443	121563.957
444	121532.6643
445	121494.3174
446	121449.0326
447	121416.3077
448	121362.5144
449	121325.0661
450	121275.7669
451	121234.6823
452	121200.5352
453	121155.2018
454	121085.005
455	121045.8518
456	121015.6489
457	120938.8406
458	120888.4344
459	120825.2246
460	120785.9927
461	120730.7737
462	120689.6508
463	120625.6545
464	120571.3468
465	120525.0617
466	120485.691
467	120435.0227
468	120383.2498
469	120344.9857
470	120313.8777
471	120251.0016
472	120224.321
473	120174.0483
474	120098.4931
475	120052.1468
476	120024.0944
477	119980.4468
478	119913.195
479	119868.1526
480	119802.3865
481	119750.4596
482	119723.1426
483	119700.0043
484	119669.6961
485	119646.5649
486	119584.1954
487	119529.1201
488	119483.3103
489	119427.4533
490	119323.7273
491	119272.3077
492	119243.7476
493	119200.0556
494	119176.0989
495	119129.731
496	119085.2551
497	119007.9031
498	118965.7074
499	118922.8968
500	118840.1418
501	118797.7323
502	118759.7503
503	118718.0177
504	118689.5537
505	118659.9831
506	118616.9943
507	118533.2833
508	118449.9499
509	118397.3888
510	118372.8084
511	118336.8643
512	118314.4943
513	118281.8921
514	118245.9963
515	118219.0439
516	118158.2881
517	118122.9069
518	118085.1102
519	118032.1378
520	117980.085
521	117943.3264
522	117918.9265
523	117868.798
524	117815.1417
525	117742.6189
526	117720.7079
527	117640.3581
528	117591.8079
529	117553.3503
530	117507.5609
531	117476.9491
532	117386.3218
533	117366.2932
534	117355.2265
535	117264.7881
536	117243.2014
537	117175.8449
538	117150.4942
539	117132.6915
540	117103.02
541	117090.4272
542	117070.7421
543	117033.78
544	116998.1932
545	116896.7983
546	116870.5936
547	116859.2729
548	116831.3084
549	116807.0959
550	116740.546
551	116691.277
552	116646.7056
553	116581.6412
554	116551.684
555	116494.9684
556	116429.056
557	116395.0361
558	116341.408
559	116307.2752
560	116268.3251
561	116243.8777
562	116220.7575
563	116165.2815
564	116139.8142
565	116121.3399
566	116098.9372
567	116061.5681
568	116002.6653
569	115962.3869
570	115935.317
571	115888.5986
572	115850.1939
573	115832.4928
574	115807.8123
575	115788.6623
576	115755.8809
577	115672.7015
578	115641.0261
579	115624.5173
580	115593.063
581	115549.7655
582	115493.7185
583	115460.2465
584	115409.0082
585	115367.482
586	115325.8025
587	115294.2128
588	115262.7703
589	115220.6816
590	115181.9826
591	115150.0887
592	115114.8738
593	115095.7863
594	115050.5169
595	114985.4235
596	114944.2825
597	114883.812
598	114847.6217
599	114821.874
600	114773.0872
601	114737.0278
602	114689.2864
603	114659.6438
604	114627.4403
605	114579.364
606	114546.3304
607	114502.06
608	114486.524
609	114454.1368
610	114426.0211
611	114365.0639
612	114313.4616
613	114281.8278
614	114240.689
615	114225.1146
616	114187.2529
617	114141.9661
618	114107.4023
619	114083.0822
620	114059.1397
621	114024.2802
622	113962.648
623	113900.4312
624	113852.6652
625	113809.3672
626	113762.1481
627	113747.7934
628	113714.5288
629	113686.3329
630	113649.189
631	113628.8374
632	113594.6457
633	113553.8469
634	113541.0913
635	113506.5327
636	113477.3499
637	113442.3017
638	113388.9387
639	113334.7769
640	113265.5447
641	113215.2753
642	113182.4287
643	113146.6153
644	113124.2053
645	113089.7195
646	113063.9792
647	113025.6793
648	112995.391
649	112963.8421
650	112904.0591
651	112884.5426
652	112862.756
653	112818.9481
654	112768.1904
655	112720.7506
656	112696.325
657	112676.3693
658	112650.2954
659	112629.2289
660	112597.9379
661	112565.6718
662	112516.3261
663	112491.3693
664	112453.227
665	112404.8604
666	112379.0223
667	112341.4832
668	112298.8268
669	112285.095
670	112236.1486
671	112218.8969
672	112199.7861
673	112162.4319
674	112073.3087
675	112011.2564
676	111988.1524
677	111964.7238
678	111946.212
679	111914.8131
680	111892.49
681	111867.7402
682	111818.982
683	111794.6478
684	111761.4907
685	111730.9442
686	111698.6457
687	111685.3919
688	111670.6264
689	111645.156
690	111615.2955
691	111587.9448
692	111559.0776
693	111540.4617
694	111489.7775
695	111439.6648
696	111416.6504
697	111390.3826
698	111352.0836
699	111326.3021
700	111307.4875
701	111297.108
702	111283.013
