iter	Passed	Remaining
0	57	57282
1	58	29250
2	59	19928
3	61	15243
4	62	12424
5	63	10544
6	64	9219
7	66	8213
8	67	7426
9	68	6795
10	70	6295
11	71	5861
12	72	5495
13	73	5180
14	74	4903
15	75	4660
16	77	4456
17	78	4269
18	79	4101
19	80	3951
20	81	3815
21	82	3687
22	84	3572
23	85	3470
24	86	3369
25	87	3275
26	88	3188
27	89	3110
28	90	3037
29	91	2966
30	92	2899
31	93	2841
32	94	2783
33	95	2726
34	96	2674
35	97	2613
36	98	2566
37	99	2520
38	100	2479
39	101	2439
40	102	2400
41	103	2368
42	104	2335
43	106	2303
44	107	2273
45	108	2244
46	109	2216
47	110	2189
48	111	2161
49	112	2135
50	113	2112
51	114	2088
52	115	2064
53	116	2042
54	117	2012
55	118	1990
56	119	1971
57	120	1952
58	121	1934
59	122	1917
60	122	1891
61	123	1866
62	124	1851
63	125	1836
64	126	1821
65	127	1807
66	128	1792
67	129	1778
68	130	1757
69	131	1744
70	132	1731
71	133	1720
72	134	1707
73	135	1690
74	136	1680
75	137	1671
76	138	1657
77	139	1646
78	139	1629
79	140	1615
80	141	1605
81	142	1594
82	143	1585
83	144	1578
84	145	1569
85	146	1560
86	147	1545
87	148	1537
88	149	1530
89	150	1522
90	151	1514
91	152	1508
92	153	1501
93	154	1493
94	156	1486
95	157	1478
96	158	1472
97	159	1467
98	160	1461
99	161	1455
100	162	1448
101	163	1442
102	165	1437
103	166	1430
104	167	1423
105	167	1416
106	169	1412
107	170	1406
108	171	1402
109	172	1397
110	173	1392
111	174	1387
112	176	1381
113	177	1376
114	178	1370
115	179	1365
116	180	1360
117	181	1354
118	182	1349
119	183	1345
120	184	1340
121	185	1335
122	186	1331
123	187	1326
124	188	1321
125	189	1317
126	190	1312
127	192	1308
128	193	1303
129	194	1298
130	195	1293
131	196	1289
132	197	1285
133	198	1281
134	199	1276
135	200	1272
136	201	1268
137	202	1264
138	203	1260
139	204	1256
140	205	1253
141	206	1249
142	207	1245
143	208	1240
144	209	1236
145	210	1233
146	211	1229
147	212	1225
148	213	1222
149	214	1218
150	216	1214
151	217	1211
152	218	1208
153	219	1205
154	220	1202
155	221	1198
156	222	1194
157	223	1191
158	224	1188
159	225	1184
160	226	1181
161	227	1176
162	228	1172
163	229	1170
164	230	1167
165	231	1164
166	232	1160
167	233	1157
168	234	1154
169	235	1151
170	236	1148
171	237	1145
172	238	1142
173	239	1138
174	240	1135
175	242	1133
176	243	1130
177	244	1127
178	245	1124
179	246	1122
180	247	1119
181	248	1116
182	249	1114
183	250	1111
184	251	1106
185	252	1104
186	253	1101
187	254	1098
188	255	1097
189	256	1094
190	257	1091
191	258	1089
192	260	1087
193	261	1085
194	262	1083
195	263	1080
196	264	1078
197	265	1075
198	266	1073
199	267	1071
200	268	1069
201	270	1066
202	271	1064
203	272	1062
204	273	1059
205	274	1057
206	275	1055
207	276	1052
208	277	1050
209	278	1047
210	279	1045
211	280	1043
212	281	1041
213	282	1039
214	284	1037
215	285	1035
216	286	1032
217	287	1030
218	288	1027
219	289	1025
220	290	1022
221	291	1020
222	292	1019
223	293	1017
224	294	1014
225	295	1012
226	296	1010
227	297	1007
228	298	1005
229	299	1003
230	300	1001
231	301	999
232	303	997
233	303	995
234	305	993
235	306	991
236	307	988
237	308	986
238	309	984
239	310	982
240	311	980
241	312	979
242	313	977
243	314	975
244	315	973
245	316	971
246	318	970
247	319	967
248	320	965
249	321	964
250	322	962
251	323	961
252	324	959
253	325	957
254	327	955
255	328	953
256	329	951
257	330	950
258	331	948
259	332	946
260	333	944
261	334	942
262	335	941
263	336	938
264	337	936
265	338	934
266	339	932
267	341	931
268	342	929
269	343	928
270	344	926
271	345	924
272	346	922
273	347	920
274	348	918
275	349	917
276	350	915
277	351	913
278	352	912
279	353	910
280	355	908
281	356	906
282	357	905
283	358	903
284	359	902
285	360	900
286	361	898
287	362	897
288	363	895
289	365	893
290	366	891
291	367	890
292	368	888
293	369	886
294	370	884
295	371	883
296	372	881
297	373	879
298	374	877
299	375	876
300	376	874
301	377	872
302	378	871
303	379	869
304	380	867
305	381	865
306	382	864
307	383	862
308	385	861
309	386	859
310	387	857
311	388	856
312	389	854
313	390	853
314	391	851
315	392	849
316	393	848
317	394	846
318	395	844
319	396	843
320	398	841
321	399	840
322	400	838
323	401	836
324	402	835
325	403	833
326	404	832
327	405	830
328	406	828
329	407	827
330	408	825
331	409	824
332	410	822
333	411	821
334	412	819
335	413	817
336	414	816
337	416	814
338	417	813
339	418	811
340	419	810
341	420	809
342	421	807
343	422	806
344	423	804
345	424	803
346	425	801
347	426	799
348	428	798
349	429	796
350	430	795
351	431	794
352	432	792
353	433	791
354	434	790
355	435	788
356	436	786
357	437	785
358	439	784
359	440	782
360	441	781
361	442	779
362	443	778
363	444	776
364	445	775
365	446	773
366	447	772
367	448	770
368	449	769
369	450	767
370	451	766
371	452	764
372	454	763
373	455	761
374	456	760
375	457	758
376	458	756
377	459	755
378	460	754
379	461	752
380	462	751
381	463	749
