url,address,price,State of the property,Availability,Number of bedrooms,postal_code,city,Surface bedroom 1,Livable surface,Furnished,Kitchen equipment,Kitchen type,Number of showers,Number of toilets,Type of heating,Type of glazing,Entry phone,Elevator,Access for disabled,Floor of appartment,Number of facades,Number of floors,Garden,Terrace,Surface terrace,Swimming pool,Specific primary energy consumption,Validity date EPC/PEB,CO2 emission,Certification - Electrical installation,Flooding Area type,Demarcated flooding area
https://immovlan.be/en/detail/apartment/for-sale/1190/vorst/vbd23488,Rue du Monténégro 162,199000,Normal,On contract,1.0,1190.0,vorst,14 m²,44 m²,No,Fully equipped,Western kitchen,1.0,1.0,Gas,Double glass,Yes,Yes,No,1.0,2.0,5.0,No,Yes,1 m²,No,139 kWh/m²/year,04/07/2025,27.0,"yes, certificate in accordance",(information not available),(information not available)
https://immovlan.be/en/detail/apartment/for-sale/6210/les-bons-villers/vbd22961,Chaussée de Bruxelles 596 1.2,335000,,On contract,3.0,6210.0,les-bons-villers,,95 m²,No,,,,2.0,Gas,,,Yes,,1.0,,3.0,No,Yes,,,51 kWh/m²/year,,,"yes, certificate in accordance",no flooding area,(information not available)
https://immovlan.be/en/detail/apartment/for-sale/1180/ukkel/vbd23087,Avenue Hamoir 37B,595000,Normal,On contract,2.0,1180.0,ukkel,18 m²,196 m²,No,Super equipped,,1.0,3.0,Gas,Double glass,Yes,Yes,Yes,3.0,4.0,4.0,No,Yes,30 m²,No,255 kWh/m²/year,,20.0,"No, certificate does not comply",no flooding area,(information not available)
https://immovlan.be/en/detail/apartment/for-sale/1030/schaarbeek/vbd23339,Place de Houffalize 24,315000,Normal,On contract,2.0,1030.0,schaarbeek,16 m²,96 m²,,Fully equipped,Western kitchen,1.0,1.0,Gas,Double glass,Yes,Yes,No,4.0,,5.0,,Yes,2 m²,Yes,222 kWh/m²/year,26/03/2035,44.0,"No, certificate does not comply",possible flooding area,(information not available)
https://immovlan.be/en/detail/apartment/for-sale/1970/wezembeek-oppem/vbd23166,Avenue Brueghel 10,290000,To renovate,On contract,2.0,1970.0,wezembeek-oppem,14 m²,85 m²,,Partially equipped,Kitchenette,1.0,2.0,Fuel oil,Double glass,Yes,Yes,No,5.0,,6.0,No,Yes,8 m²,No,166 kWh/m²/year,14/08/2035,42.0,"No, certificate does not comply",(information not available),(information not available)
https://immovlan.be/en/detail/apartment/for-sale/2570/duffel/rbu25717,Liersesteenweg 16 1,219000,Normal,On contract,2.0,2570.0,duffel,,118 m²,No,,,,,Gas,,,No,,,2.0,,No,No,,,407 kWh/m²/year,16/05/2035,,"yes, certificate in accordance",no flooding area,(information not available)
https://immovlan.be/en/detail/apartment/for-sale/1190/vorst/vbd23492,Rue du Monténégro 162,199000,Normal,On contract,1.0,1190.0,vorst,14 m²,44 m²,No,Fully equipped,Western kitchen,1.0,1.0,Gas,Double glass,Yes,Yes,No,3.0,2.0,5.0,No,Yes,1 m²,No,140 kWh/m²/year,04/07/2025,27.0,"yes, certificate in accordance",(information not available),(information not available)
https://immovlan.be/en/detail/apartment/for-sale/1190/vorst/vbd23487,Rue du Monténégro 162,215000,Normal,On contract,1.0,1190.0,vorst,14 m²,46 m²,No,Fully equipped,Western kitchen,1.0,1.0,Gas,Double glass,Yes,Yes,No,0.0,2.0,5.0,Yes,Yes,5 m²,No,482 kWh/m²/year,04/07/2025,96.0,"yes, certificate in accordance",(information not available),(information not available)
https://immovlan.be/en/detail/apartment/for-sale/1080/sint-jans-molenbeek/vbd23043,1080 Sint-Jans-Molenbeek,225000,,,1.0,1080.0,sint-jans-molenbeek,,71 m²,,,,,,Fuel oil,,,,,1.0,3.0,,No,Yes,2 m²,,,,,,(information not available),(information not available)
https://immovlan.be/en/detail/apartment/for-sale/1190/vorst/vbd23490,Rue du Monténégro 162,199000,Normal,On contract,1.0,1190.0,vorst,14 m²,44 m²,No,Fully equipped,Western kitchen,1.0,1.0,Gas,Double glass,Yes,Yes,No,2.0,2.0,5.0,No,Yes,1 m²,No,130 kWh/m²/year,04/07/2025,27.0,"yes, certificate in accordance",(information not available),(information not available)
https://immovlan.be/en/detail/apartment/for-sale/1030/schaarbeek/vbd23165,Boulevard Lambermont 155,310000,Normal,On contract,2.0,1030.0,schaarbeek,19 m²,96 m²,,Super equipped,,1.0,1.0,Fuel oil,Double glass,Yes,Yes,No,2.0,,5.0,No,Yes,6 m²,No,209 kWh/m²/year,01/09/2035,40.0,"No, certificate does not comply",no flooding area,(information not available)
